Col 2 = abs (m2 mgChl-1)
 450 0.0453     0.0172     0.00337    0.000042562      0.000000 
 475 0.0280     0.0049     0.00337    0.000042562      0.000000 
 500 0.0191     0.0011     0.00329    0.000041551      0.000000 
 525 0.0062     0.0017     0.00289    0.000036500      0.000000 
 550 0.0029     0.0026     0.00248    0.000031321      0.000000 
 575 0.0028     0.0028     0.00217    0.000027406      0.000000 
 600 0.0035     0.0035     0.00194    0.000024501      0.000000 
 625 0.0046     0.0046     0.00173    0.000021849      0.000000 
 650 0.0064     0.0064     0.00153    0.000019323      0.000000 
 675 0.0148     0.0148     0.00154    0.000019450      0.000000 
 700 0.0060     0.0060     0.00156    0.000019702      0.000000 
*** LL Pro (incl. cell diameter in um) ***
   0   0.63       0.63        0.63           0.63          0.63
 400 0.0420     0.0225     0.00350    0.000044204      0.000000 
 425 0.0604     0.0286     0.00325    0.000041046      0.000000 
 450 0.0728     0.0262     0.00337    0.000042562      0.000000 
 475 0.0584     0.0180     0.00337    0.000042562      0.000000 
 500 0.0353     0.0030     0.00329    0.000041551      0.000000 
 525 0.0132     0.0035     0.00289    0.000036500      0.000000 
 550 0.0068     0.0061     0.00248    0.000031321      0.000000 
 575 0.0055     0.0055     0.00217    0.000027406      0.000000 
 600 0.0060     0.0060     0.00194    0.000024501      0.000000 
 625 0.0067     0.0067     0.00173    0.000021849      0.000000 
 650 0.0114     0.0114     0.00153    0.000019323      0.000000 
 675 0.0159     0.0159     0.00154    0.000019450      0.000000 
 700 0.0072     0.0072     0.00156    0.000019702      0.000000 
*** Diatom (incl. cell diameter in um) ***
   0   3.99       3.99       30.00          30.00         30.00
 400 0.0205     0.0205     0.00352    0.000007585      0.000000 
 425 0.0232     0.0232     0.00336    0.000007240      0.000000 
 450 0.0218     0.0218     0.00336    0.000007240      0.000000 
 475 0.0164     0.0164     0.00354    0.000007628      0.000000 
 500 0.0139     0.0139     0.00362    0.000007800      0.000000 
 525 0.0104     0.0104     0.00368    0.000007929      0.000000 
 550 0.0073     0.0073     0.00364    0.000007843      0.000000 
 575 0.0050     0.0050     0.00359    0.000007736      0.000000 
 600 0.0044     0.0044     0.00351    0.000007563      0.000000 
 625 0.0054     0.0054     0.00341    0.000007348      0.000000 
 650 0.0063     0.0063     0.00323    0.000006960      0.000000 
 675 0.0139     0.0139     0.00299    0.000006443      0.000000 
 700 0.0051     0.0051     0.00309    0.000006658      0.000000 
*** Coccoli (incl. cell diameter in um) ***
   0   4.93       4.93        4.93           4.93          4.93
 400 0.0300     0.0288     0.00656    0.000073386      0.000000 
 425 0.0338     0.0320     0.00642    0.000071820      0.000000 
 450 0.0354     0.0327     0.00645    0.000072156      0.000000 
 475 0.0326     0.0291     0.00681    0.000076183      0.000000 
 500 0.0217     0.0193     0.00762    0.000085245      0.000000 
 525 0.0144     0.0141     0.00811    0.000090726      0.000000 
 550 0.0091     0.0091     0.00840    0.000093971      0.000000 
 575 0.0066     0.0066     0.00840    0.000093971      0.000000 
 600 0.0066     0.0066     0.00821    0.000091845      0.000000 
 625 0.0067     0.0067     0.00803    0.000089831      0.000000 
 650 0.0069     0.0069     0.00775    0.000086699      0.000000 
 675 0.0140     0.0140     0.00731    0.000081777      0.000000 
 700 0.0045     0.0045     0.00795    0.000088936      0.000000 
*** Tricho (incl. cell diameter in um) ***
   0   6.00       6.00        6.00           6.00          6.00
 400 0.0267     0.0192     0.01730    0.000069200      0.000000 
 425 0.0325     0.0212     0.01662    0.000066480      0.000000 
 450 0.0284     0.0118     0.01572    0.000062880      0.000000 
 475 0.0235     0.0041     0.01483    0.000059320      0.000000 
 500 0.0188     0.0064     0.01441    0.000057640      0.000000 
 525 0.0130     0.0106     0.01350    0.000054000      0.000000 
 550 0.0111     0.0111     0.01209    0.000048360      0.000000 
 575 0.0086     0.0086     0.01182    0.000047280      0.000000 
 600 0.0078     0.0078     0.01173    0.000046920      0.000000 
 625 0.0091     0.0091     0.01145    0.000045800      0.000000 
 650 0.0110     0.0110     0.01057    0.000042280      0.000000 
 675 0.0170     0.0170     0.00966    0.000038640      0.000000 
 700 0.0065     0.0065     0.00899    0.000035960      0.000000 
*** n2unicell (incl. cell diameter in um) ***
   0   3.00       3.00        3.00           3.00          3.00
 400 0.0474     0.0274     0.00772    0.000028236      0.000000 
 425 0.0576     0.0283     0.00711    0.000026004      0.000000 
 450 0.0543     0.0160     0.00676    0.000024724      0.000000 
 475 0.0444     0.0062     0.00618    0.000022603      0.000000 
 500 0.0416     0.0138     0.00578    0.000021140      0.000000 
 525 0.0270     0.0224     0.00534    0.000019531      0.000000 
 550 0.0270     0.0269     0.00492    0.000017995      0.000000 
 575 0.0144     0.0144     0.00468    0.000017117      0.000000 
 600 0.0076     0.0076     0.00419    0.000015325      0.000000 
 625 0.0089     0.0089     0.00378    0.000013825      0.000000 
 650 0.0098     0.0098     0.00345    0.000012618      0.000000 
 675 0.0200     0.0200     0.00321    0.000011740      0.000000 
 700 0.0100     0.0100     0.00326    0.000011923      0.000000 
*** Lg euk (incl. cell diameter in um) ***
   0  27.64      27.64       27.64          27.64         27.64
 400 0.0162     0.0162     0.00071    0.000015509      0.000000 
 425 0.0178     0.0178     0.00070    0.000015290      0.000000 
 450 0.0180     0.0180     0.00067    0.000014635      0.000000 
 475 0.0165     0.0165     0.00068    0.000014853      0.000000 
 500 0.0135     0.0135     0.00074    0.000016164      0.000000 
 525 0.0110     0.0110     0.00079    0.000017256      0.000000 
 550 0.0082     0.0082     0.00085    0.000018567      0.000000 
 575 0.0051     0.0051     0.00091    0.000019877      0.000000 
 600 0.0044     0.0044     0.00092    0.000020096      0.000000 
 625 0.0048     0.0048     0.00093    0.000020314      0.000000 
 650 0.0058     0.0058     0.00093    0.000020314      0.000000 
 675 0.0105     0.0105     0.00086    0.000018785      0.000000 
 700 0.0048     0.0048     0.00097    0.000021188      0.000000 
*** MEAN ***
   0   5.00       5.00        5.00           5.00          5.00
 400 0.0310     0.0223     0.00640    0.000018444      0.000000 
 425 0.0387     0.0253     0.00605    0.000017435      0.000000 
 450 0.0396     0.0206     0.00591    0.000017032      0.000000 
 475 0.0318     0.0137     0.00581    0.000016743      0.000000 
 500 0.0246     0.0112     0.00588    0.000016945      0.000000 
 525 0.0147     0.0118     0.00574    0.000016542      0.000000 
 550 0.0118     0.0116     0.00546    0.000015735      0.000000 
 575 0.0074     0.0074     0.00531    0.000015303      0.000000 
 600 0.0058     0.0058     0.00508    0.000014640      0.000000 
 625 0.0067     0.0067     0.00483    0.000013919      0.000000 
 650 0.0082     0.0082     0.00452    0.000013026      0.000000 
 675 0.0155     0.0155     0.00421    0.000012133      0.000000 
 700 0.0066     0.0066     0.00438    0.000012622      0.000000 
*** zooplankton ***
   0   5.00       5.00        5.00           5.00          5.00
 400 0.0000     0.0000     0.00640    0.000003689      0.000000 
 425 0.0000     0.0000     0.00605    0.000003487      0.000000 
 450 0.0000     0.0000     0.00591    0.000003406      0.000000 
 475 0.0000     0.0000     0.00581    0.000003349      0.000000 
 500 0.0000     0.0000     0.00588    0.000003389      0.000000 
 525 0.0000     0.0000     0.00574    0.000003308      0.000000 
 550 0.0000     0.0000     0.00546    0.000003147      0.000000 
 575 0.0000     0.0000     0.00531    0.000003061      0.000000 
 600 0.0000     0.0000     0.00508    0.000002928      0.000000 
 625 0.0000     0.0000     0.00483    0.000002784      0.000000 
 650 0.0000     0.0000     0.00452    0.000002605      0.000000 
 675 0.0000     0.0000     0.00421    0.000002427      0.000000 
 700 0.0000     0.0000     0.00438    0.000002524      0.000000 
*** hetero bacteria (incl. cell diameter in um) ***
   0   0.55       0.55        0.55           0.55          0.55  
 400 0.0000     0.0000     0.00778    0.000066059      0.000382 
 425 0.0000     0.0000     0.00709    0.000060201      0.000304 
 450 0.0000     0.0000     0.00622    0.000052814      0.000186 
 475 0.0000     0.0000     0.00586    0.000049757      0.000132 
 500 0.0000     0.0000     0.00519    0.000044068      0.000102 
 525 0.0000     0.0000     0.00457    0.000038804      0.000073 
 550 0.0000     0.0000     0.00415    0.000035237      0.000060 
 575 0.0000     0.0000     0.00389    0.000033030      0.000046 
 600 0.0000     0.0000     0.00368    0.000031247      0.000034 
 625 0.0000     0.0000     0.00344    0.000029209      0.000028 
 650 0.0000     0.0000     0.00314    0.000026662      0.000024 
 675 0.0000     0.0000     0.00316    0.000026831      0.000016 
 700 0.0000     0.0000     0.00301    0.000025558      0.000012 
